comment_star,cus_comment
50,健身 喝 奶茶 一点点 冰淇淋 红茶 喝 减肥 抵抗 这家 分店 号线 地铁口 不远处 有人 排队 有时候 晚上 十点 路过 有人 排队 生意 真的 生意 外卖 会关 
30,喝 奶茶 好像 路过 喝一杯 奶茶 好像 行 家 奶茶 喜欢 珍珠 类 东西 加 甜度 选择 整体 说 不错 
30,气死 刚刚 点 一杯 薄霸 奶茶 布丁 颗 珍珠 没吸 搞 鬼 礼拜 只能 喝 这么久 碰上 偷工减料 号 做 那位 员工 请 反思 放 图 差别 
50,网红 奶茶 终于 有空 第一次 喝 好喝 果断 买 杯 柠檬 冰 好喝 味道 家 地方 家 多糖 标准 糖 少糖 口味 元 我要 标准 很甜 添加剂 酸酸的 柠檬 味 很浓 挺 好喝 多人 推荐 
50,三钢 里 三钢 里 奶茶 服务态度 忙 忘 服务态度 想 喝 找度 娘 搜 搭配 真不错 三钢 里 三钢 里 奶茶 服务态度 忙 忘 服务态度 想 喝 找度 娘 搜 搭配 真不错 
40,冰淇淋 红茶 四季 玛奇朵 波霸 奶茶 抹 茶 铁 连续 三天 喝 四杯 口味 整体 不错 性价比 高 网红网 红 奶茶 店 价格 实惠 大众 价格 品质 口感 缺点 喝太多 喝多腻 感觉 一周 喝 次 接受 不行 
50,天气 实在 太 热 火炉 一点点 特色 冰激凌 配方 我会 点 红茶 玛奇朵 冰激凌 再配 珍珠 绝配 这家 店 店员 服务生 晚上 六个 办法 生意 实在 太好了 
40,点点 分店 越来越 不用 排长队 店 买 点 家 奶青 或奶 绿 另加 奶霜 无糖 冰 奶茶 店多 囗 味 服务员 态度 热情 高 
40,周四 点 半左右 昌里 路 一点点 不敢相信 一点点 感觉 想 喝 点 网红点 法 好评 希望 每次 路过 肯定 每次 买 大杯 布丁 涨 块钱 喝 心在 滴血 
10,一星 服务 培训 流程 怎么回事 是从 上海 开店 买 老客户 第一次 碰到 情况 明明 错杯 导致 重做 非要 嘴硬 听到 一脸 无辜 地问 号 客人 回来 全程 站 面前 退 一万步 说 听到 没聋 客人 走开 杯 错 客人 内容 物 客人 发现 坑 两个 客人 真的 号 错 明明 那忙 上天 当面 指出 承认 错杯 事情 反复强调 听到 号 店员 眼里 聋 瞎 这杯 说 重做 错 那杯 打开 身后 冰箱 里 错杯 倒掉 环保 想当年 两家 一点点 第一批 店员 熟 旅行 回带 手信 服务 人情 牌 做 唏嘘 
50,喜欢 喝 一点点 喜欢 吃 波霸 爱 一点点 家 波霸 奶茶 每次 买 放波霸 每次 半杯 波霸 吃 超 波霸 真的 超 弹 好吃 不愧 上海 网红 奶茶 感觉 无时无刻 排队 每次 好多 好久 
50,上次 武汉 买 买 一杯 感觉 变难 喝 不想 喝 喜欢 奶茶 喜欢 茶 咖啡 苦 一点 东西 好喝 一点点 武汉 喝 少 喜茶 一家 火爆 我妈 免费 
40,昨天 妹子 喝 一点点 南路 那家 挺 每次 路过 排队 两个 人买 一杯 超大 杯 喝 一半 掉 地上 珍珠 放 挺 感觉 量 挺足 奶茶 还行 很甜 人气 高 道理 哈哈哈 
50,冰激凌 红茶 好喝 奶茶 波霸奶 绿 好喝 点 喜欢 红茶 冰淇淋 红茶 柠檬 养乐多 好喝 酸 吃 酸 波霸奶 绿 好喝 加点 燕麦 更好 喝 葡萄柚 绿 适合 夏天 清爽 
40,这家 南路 一点点 昌里 路 很近 地铁口 每次 路过 排队 生意 厂里 路 吃 完 东西 买 一杯 喝喝 夏天 一点点 冰 奶茶 特别 好喝 加 仙草 感觉 消暑 
20,我要 吃 节日 叫外卖 太 对不起 抵用券 叫个 一点点 等于 免 配送费 选择 柠檬 蜜 一点点 难吃 喝完 腻 不行 喝完 食道 舒服 发誓 再也 喝 一点点 
50,夏天 喝 冰激凌 红茶 激动 忘 一点点 珍珠 波霸 加 波霸 口感 珍珠 口感 差 点 冰激凌 要化 搅拌 喝 超级 赞 奶盖 不加 好喝 新 解锁 柠檬 梅子 五分 甜 酸 分甜 正好 酸酸甜甜 适合 夏天 加 波霸 口感 
30,这家 店 每次 地铁 路过 生意 外卖 有时候 中午 两个 忙 做 外卖 外面 二十分钟 有时候 看人少 买 一杯 喝 冰激凌 红茶 涨价 中杯 十三元 十四元 大杯 涨价 一块钱 变 
30,想 标记 号线 耀华 路站 有家 一点点 季节 限定 冰淇淋 红茶 括弧 一年四季 贩售 括弧 招牌 特色 冰 分微 甜 涩 感 红茶 勾勒 冰淇淋 奶香 夏天 感觉 吃 奶油 罪恶 干巴巴 喝茶 无趣 
20,只想 说 从来不 写 点评 真的 无语 晚上 老婆 公司 聚餐 回来 顺便 帮 杯 奶茶 一点点 喝 喝 两口 老婆 问 漂着 吸管 挑 一只 飞虫 找 找 找 两只 生意 比较忙 天气 热 晚上 飞虫 变多 希望 
40,这家 生意 太好了 排队 分钟 吓人 地方 美食 一条街 打牌 长隆 吃 东西 好多 朋友 排队 地方 排队 吃饭 地方 排队 恐怖 小时 真的 累 累 
50,位置 号线 地铁 服务 每次 热情 哥哥 一声 哥哥 小姐姐 推荐 波霸 奶茶 无糖 减肥 妹子 试试 感觉 涨价 中杯 好像 元 元 喜欢 吃 不介意 涨 
50,买 波霸 奶茶 大冰淇凌 红茶 真的 好喝 爆表 大冰淇凌 奶盖 味道 哇塞 波霸 奶茶 分甜 超级 好喝 下次 试试 分甜 颗 珍珠 天津 一点点 天津 开 涨 斤 肉 
30,永远 点 一点点 这家 店 外卖 菜单 大杯 奶绿 七分 糖 热 七分 糖 无糖 导致 怀疑 这家 店 员工 味觉 别家 店点 菜单 甜 唯独 一家 与众不同 特地去 店里 买 大杯 奶绿 七分 糖 热 做 不甜 问 店员 店员 告诉 七分 糖 微糖 三分 糖 少糖 甜 一点 要说 多糖 理解能力 一点点 外卖 单上 多糖 选项 
50,每次 一点点 人少 买 点 四季 奶青 椰果 奶茶 含 奶精 奶茶 家 算是 良心 味道 喝完 很腻 茶味 浓郁 建议 超过 点 喝 晚上 失眠 
50,终于 一点点 排队 排队 排队 好喝 关键 性价比 发现 上海滩 排长队 好吃 价格 吃 东西 吸引 排队 一点点 服务 品质 没话说 忙 说 欢迎光临 忙 集体 说 一声 谢谢 光临 服务 爱上 更何况 亲民 价格 不差 口感 反正 无聊 喝来喝去 波霸奶 绿 
30,服务 没得说 耐心 评论 点 一杯 红茶 玛奇朵 分糖 小姐姐 问 打开 脑袋 点头 想 说 摇匀 喝 打开 摇 慢慢 晃来晃去 摇 洒 喝 宝宝 很方 好喝 甜腻 半冷 不热 喜欢 传统 奶茶 那种 浓醇 清爽 感觉 
30,每次 这家 点点 排队 买 两年 多前 四五个 买 半小时 拿到 饮料 去过 昨天晚上 八点 排队 买 尝试 速度 确实 不快 喜欢 喝奶 盖 每到 一处 要点 奶盖 饮品 乌龙 玛奇朵 乌龙茶 味道 浓 这家 奶盖 喜欢 太甜 几家 好喝 
10,喝 最难 喝 一点点 乌龙 铁半糖 波霸 热 店员 点成 乌龙 铁半糖 混珠 重点 重点 乌龙 铁 茶味 一杯 奶 冲淡 加 点 糖 真的 崩溃 难 喝 味道 淡 可耻 店员 服务态度 食物 质量 不行 请 改进 
40,逛 昌里 路 路过 一点点 抵不住 排队 诱惑 点 杯 乌龙 玛奇朵 一点点 红 服务员 热情 敬业 制作 流程 规范 操作员 分工 忙而不乱 饮品 量足 可口 颜值 高 吸引 小朋友 年轻人 
30,嘴馋 特地 世博 源 走 买杯 喝喝 一路 排队 买单 取 茶 排队 乱哄哄 奶青加 波霸 三分 糖 甜 无糖 杯 柠檬 蜜 分糖 不错 酸中 甜 加 波霸 咬 累 感觉 加 珍珠 太小 波霸 太大 出个 中珠 
30,女儿 辅导课 喝杯 奶茶 这家 路过 总 排 倒 还好 两个 老婆 一人点 一杯 乌龙 玛奇朵 奶盖 真的 比不上 喜茶 冰淇淋 红茶 冰淇淋 红茶 没法 融合 口味 搭 
40,那天 闲来无事 跟着 长龙 排 一点点 点单 饮料 好多 外卖 小哥 好多 间 人气 挺 高 每次 假日 点 四季 奶青 分糖 熟悉 奶茶 味道 喝 奶茶 系列 偏爱 一点点 饮料 小哥 态度 感觉 不好 甩 惹 
50,一点点 钟爱 粉 周六 电影 正好 一点点 毫不犹豫 地去 买 一杯 成功 错过 电影 开场 哈哈哈 哈哈哈 本来 时间 排队 耽误 久 喜欢 想 喝 一点点 可惜 家里 下次 耀华 路 开心 
50,真的 排 太久 制作 速度 很快 喜欢 四季春 无糖 不加奶 冬天 一杯 热茶 暖手 宝 喝 暖暖的 东西 干净 手脚 好评 朋友 点 四季春 玛奇朵 特别 喜欢 好喝 
50,情人节 想 喝一杯 一点点 还好 排队 点 单员 问 冰 有温 热 冬天 冰 全糖 怂 乌龙 奶茶 特别 甜 珍珠 不错 一点点 波霸 乌龙 奶 红茶 玛奇朵 换 点 真的 好喝 
40,地理位置 地铁 号线 耀华 路站 出站 步行 米 沿街 铺 店铺 环境 店铺 门面 有根 柱子 误以为 点单 发 饮料 分开 点单 窗口 发 饮料 拦开 员工 制作 区 员工 服务 店员 挺 各司其职 饮料 口味 点 波霸 奶茶 波霸 超级 奶茶 茶味濃 奶味 红茶 玛奇朵 奶霜太少 茶 
40,小店 位于 耀华 路 地铁站 南路 方向 路上 一点点 开 火爆 排队 点 一大 杯波霸 奶茶 三分 甜 奶茶 里 珍珠 圆子 好多 足足 小半杯 喜欢 吃 珍珠 圆子 口福 爱 吃 撑 奶茶 好喝 
50,天气 寒冷 买 一杯 一点点 工作日 不用 排队 感觉 旁边 外卖 小哥 挺 不太想 冷天 买 奶茶 买 一杯 新出 奶茶 很快 奶盖略 甜 喝 一股 甜味 好几斤 卡路里 
20,每次 必点 波霸奶 绿 珍珠奶茶 喝 多家 一点点 这家 店 水平 最差 波霸奶 绿 半糖 嘴里 像是 白水 味道 杯壁 特别 粘 没擦 干净 珍珠奶茶 全糖 还行 杯壁 粘 外卖 冰淇淋 红茶 点 大杯 送过来 中杯 总体 
50,中午 昌里 路 吃 锅贴 想 喝个 奶茶 可惜 葡萄柚 绿 说 季节 产品 夏天 感觉 上市 秋天 事情 懂 喝 杯 奶茶 加变 冰淇淋 好喝 排队 感觉 一点点 排队 五六个 做 奶茶 喝 
10,差评 点 一杯 红茶 玛奇朵 做错 打电话 店里 告知 做错 说 玛奇朵 溶掉 两杯 玛奇朵 放在 差别 做错 做 错 承认 就行了 忽悠 消费者 算是 本事 第一次 喝 
40,排队 神店 网红 奶茶 店 小马 目前为止 跑 魔 尝个 鲜 坐标 南路 吃饭 路上 奶茶 种类 犯 选择 困难 症 天气炎热 我选 冰淇淋 红茶 老弟 选 波霸奶 绿 两杯 元 喜茶 奈雪 茶 网红 奶茶 店 价格 算是 良心 排队 接受 太 夸张 不到 半小时 貌似 不太会 喝 原因 冰淇淋 红茶 先 冰淇淋 吃 茶 太淡 冰淇淋 融化 一部分 茶 融合 喝 口感 更佳 心急 老弟 波霸 奶茶 珍珠奶茶 珍珠 珍珠 改叫 波霸 珍珠 有嚼头 夏天 喝冰 舒服 希望 小马 开 一家 
50,跨年 写实 不好意思 这家 里 昌里 路 世博 源 地铁站 一百多米 确实 地方 小小的 三四个 做 忙 辛苦 买 四季 奶青 不甜 滑润 清爽 喜欢 新出 感冒 加 免费 波霸 分量 足 回去 不用 吃饭 下次 店员 说少 加些 
40,哪家 一点点 人头攒动 生意兴隆 浦东 一家 南路 生意 店堂 里 年轻人 忙 招聘 广告 做 这份 工 辛苦 工资 高 年轻人 挣钱 喜欢 红茶 玛奇朵 乌龙 玛奇朵 系列 学会 加混珠 感觉 没志气 想开 一家 一点点 
30,乌龙 奶茶 中规中矩 撒 好冈额 柠檬 养乐多 七分 甜 猛吸 一口 眉头 紧锁 甜得 苏锡帮 举 白旗 巨甜 巨酸 口感 酸酸甜甜 爱 极致 体验 醉 饮料 期间 拍 下图 刚进 货 好像 袋装 茶叶 掉 地上 一滩 烟蒂 污水 中 希望 店家 妥善处理 
40,上南 地区 唯一 一家 一点点 奇怪 连三林 地区 家里 地址 送 朋友家 外卖 不用 排队 不肯 放弃 这家 店 南路 沿街 店面 三钢 里 全家 旁边 爱 四季 奶青 奶霜 感觉 适合 夏天 喝 
40,考完试 想吸 杯 一点点 估计 工作日 晚上 太冷 排队 买单 拿到 饮料 超过 五分钟 超开 熏 依旧 波霸奶 绿 三分 糖 波霸 嚼 劲 茶味 奶味重 喜欢 希望 晚上 睡 排队 一点点 一点点 
10,差评 差评 差评 差评 差评 气愤 消费 食物 有毒 一共 五个 喝 紧随其后 腹泻 电影 完 呕吐 一点点 饮料 喝过 每次 点 几款 喝 一股 味道 喝 酸 馊味 很大 喝 几口 喝 反胃 平常 肠胃 餐厅 吃饭 拉肚子 中招 发货 发错 一杯 冰 常温 常温 冰 区别 告知 冰 常温 开 玩笑 事发 当天 打电话 告知 食物 否认 说话 吞吞吐吐 一味 建议 选择 一点点 这家 产品质量 我要 食品药品 监督局 举报 检查 卫生 产品质量 情况 
30,冬天 太冷 真的 喝 奶茶 超 爱喝 一点点 胖 不想 喝 天冷 想 喝一杯 暖暖的 奶茶 正好 逛街 今日 之选 四季 奶青 无糖 建议 加糖 无糖 确实 难 喝 
30,实在 搞懂 为啥 每次 多人 中午 排 晚饭 饭点 带病 想 喝杯 奶茶 喜欢 他家 乌龙 玛奇朵 调味 独到之处 微甜 沁人心脾 喝 奶茶 节制 口瘾 喝药 
40,地铁站 一点点 位置 好找 这家 店 人多 特别 周末 还好 多久 喝 一点点 喝 乌龙 奶茶 波霸 七分 甜 五分 糖 红茶 玛奇朵 七分 甜 五分 糖 冰激凌 红茶 灵 夏天 喝会 爽 
30,亚新 生活 广场 走 条路 不查 点评 真不知道 一点点 这家 直营店 生意 干净 记得 百香 三重奏 新品 推荐 就试 口味 真的 满难 喝 百香果 味道 想 模仿 失败 带籽 成本 全是 蜂蜜水 味道 反正 怪怪的 工作人员 手 想到 店 试试 味道 直营店 几天 全店 新 没想到 难 喝 终于 放弃 奇怪的是 这么久 推 赶紧 下架 
40,亚新 广场 电影 老规矩 电影 买 一杯 奶茶 过过 嘴瘾 这家 一点点 亚新 广场 生意 外卖 排队 一点点 品种 爱喝 几款 波霸 奶茶 红茶 玛奇朵 三分 甜 冰 中杯 刚刚 波霸 真的 嚼 劲 玛奇朵 不错 有时候 吃 腻 价格 算 亲民 实惠 服务 算 忙碌 
50,爱喝 奶茶 错过 爱心 爱心 爱心 爱心 爱心 爱心 爱心 爱心 爱心 爱心 一点点 遍布全国 路上 溜达 发现 这家 店 不用 排队 试试 看着 招牌 推荐 选了 大杯 波霸 奶茶 乌龙茶 解渴 小杯 划算 店面 工作人员 忙碌 供不应求 感觉 
40,上海 好像 一点点 排好长 队 排 二十分钟 等车 茶 点 红茶 玛奇朵 波霸 奶茶 七分 糖 甜 中杯 刚刚 大杯 喝 不动 温馨 提示 他家 茶 不错 晚上 喝 睡不着 觉 反正 路过 买 一杯 喝喝 
40,一点点 像是 水 饮料 喝得 忘记 喝水 段时间 没买 长寿路 正好 有家 一点点 果不其然 排队 家不像 网红店 红过 一阵 家 固定 客源 奶茶 店 做成 真的 口碑 一点点 稳定 点 杯 波霸奶 绿 味道 样子 不错 波霸 样子 好吃 嚼 劲 热 天 真的 空调 吹 不到 外面 奶茶 真的 可怜巴巴 不来 热死 拿到 奶茶 赶紧 去亚 新 吹 空调 
40,排队 排队 下单 排队 号 排队 茶 排队 永远 排队 奶茶 铺能 程度 算 成功 这家 像是 网红店 一轰 完事 开张 始终保持 客源 足以 其食材 品质 反正 一惯 忠粉 超 喜欢 
50,宽宽的 马路边 两排 大大的 茂密 法国 梧桐树 吹 微微 暖风 握杯 一点点 热 奶茶 感觉 恰意 一点点 喝 好几年 说不上 喜欢 众多 品牌 中 习惯 喝 一点点 推荐 波霸 奶茶 红茶 玛奇朵 红茶 玛奇朵 中 奶盖 甜 摇摇 均匀 口感 更好 奶茶 买好 奶茶 南京 西路 梧桐树 逛 马路 
50,这家 一点点 开 很多年 生意 奶茶 店 亚新 广场 一带 小吃 超多 逛 地方 一杯 一点点 对面 豪 鸡排 凉粉 标配 老公 手 抓 饼 鸡排 亚新 四楼 电影 要少 喝 奶茶 恋暖初 茶外 一点点 
30,我料 感叹号 料多 两个 字 省 几颗 波霸 中评 合算 唧唧 歪歪 字 茶 嚼 珍珠 嚼 珍珠 减肥 毁 两个 妹子 午饭 
40,去亚 新 一出 好戏 楼下 点 一点点 点点 失望 好喝 好像 含茶率 挺 高 晚上 失眠 说 愉快 体验 点点 不错 喝 价格 便宜 奶茶 要少 喝 小伙伴 看着办 
40,一点点 奶茶 开 永远 排队 下单 排队 取茶 排队 啥时候 中午 包括 晚上 不用 事情 究其原因 奶茶 味 纯正 口感 恰到 其份 用料 地道 添加剂 大众 口味 
50,中午 外卖 没喝 前 奶茶 香精 味太中 喝过 胃里 舒服 喝 味 一点点 甜 浓浓的 奶 香味 最爱 红豆 再来点 珍珠 豆香 奶鲜 哇塞 改变 奶茶 地位 真的 步步高升 同事 叫外卖 味 红豆 奶茶 再放点 鲜奶 甜 
50,奶茶 喝 一点点 接触 一点点 年前 喝 第一杯 不错 好喝 茶 奶配 刚刚 服务 超级 热情 欢迎光临 谢谢 光临 异口同声 说 声音 超大 环境 环境 一般般 马路边 太阳 晒 
10,买 身体 适合 喝冷 选择 红茶 玛奇朵 冰 有冰 拿到 手 冰 喝 说 喝冷 冷冻 秋天 买 舍得 冰水 红茶 玛奇朵 从前 口感 温温的 冰喝个 鬼 只能 扔掉 咯 服务业 眼色 说 冰 喝冰 强词夺理 忙 客人 一生 黑 买 
50,说起 一点点 噩梦般 赶脚 解释一下 一说 每次 喝 一点点 准 失眠 周六 逛街 一点点 店 毫不犹豫 点 一杯 奶茶 猜 怎么着 一夜 睡着 第二天 早上 点多 睡衣 今天下午 喝 一杯 喝 家 新品 百香果 忘记 味道 不错 值得 一试 希望 晚上 梦 
50,朋友 做 指甲 想 说 楼上 买杯 奶茶 大众 点评 查 查看 一点点 呲 牙 呲 牙 呲 牙 欸 找到 调皮 调皮 调皮 店面 挺大 一杯 爱 波霸 加奶 霜 呲 牙 呲 牙 呲 牙 恩 没什么 挺快 门口 不一会 做好 先吸 下奶 霜 不错 
50,这是 一家 直营店 分店 员工 培训 生意 下雨天 闷热 天气 想来 点冷 吃 坏 肚子 来杯 乌龙 铁 冰激凌 爽 凉 不冰 需求 店里 一位 员工 新 员工 耐心 细致 解说 清晰 明 新 员工 拿到 做好 饮料 号 问 一句 打包 员工 纠正 打包 简单 一句 询问 区别 值得 学习 借鉴 
50,整颗 仙草 换成 点 仙草 装进 杯子 量 少 店员 哥哥 帮 我加 超多 幸福 哈哈哈 真的 爱 仙草 一点点 无糖 真的 一点 甜 少糖 仙草 波霸 甜 喝 味道 
40,一杯 茶 至少 晚餐 吃饱 咖啡厅 聊天 不想 喝 对面 一家 一点点 红茶 玛奇朵 网红店 人气 足 先点餐 等候 区 排队 号 服务 热情 到位 礼貌 红茶 玛奇朵 奶味 偏重 挺 顺滑 茶 香味 足 分糖 完美 搭配 好喝 简单 
40,离不开 一点点 一杯 这家 店 号线 长寿路 站 号口 好找 点单 桌子 摆 好像 五一 过后 涨价 节奏 点 杯 玛奇朵 奶盖 厚 细滑 说 一点点 波霸 真的 嚼 劲 好吃 想不通 奶茶 明明 做好 一分钟 放在 封口机 里 没人管 好多 忙 外卖 不好 分工 
50,波霸 奶茶 四季 玛奇朵 乌龙 波霸 珍珠奶茶 仙草 奶冻 环境 服务 网上 口味 不错 送餐 速度 很快 喜欢 喝太甜 东西 选 五分 糖 喝 甜味 标准 关注 活动 力度 还会 购买 
40,公司 一家 一点点 生意 好哇 工作日 元 免费 送货 感觉 家 饮料 里 材料 放 真的 收钱 放 良心 店 喜欢 吃 波霸 红豆 铁粉 错过 强烈推荐 乌龙 玛奇朵 三分 糖 冰 加 红豆 波霸 
40,新会 路上 对面 亚新 广场 生意 不错 排队 等候 旁边 卖 饮品 点点 胜 品种 价格 实惠 受欢迎 希望 增加 人手 排长队 影响 周边 行人 车辆 周边 环境卫生 有待 改善 
