name,comment_count,comment_star,comment_description,cus_comment
,,50,口味：非常好 环境：非常好 服务：非常好,离三钢里蛮近的，三钢里奶茶也是丰富得很，但是还是来了这里！。服务态度很好，再忙也不忘服务态度！不知道想喝什么就找度娘搜了一个搭配，别说还真不错哈。离三钢里蛮近的，三钢里奶茶也是丰富得很，但是还是来了这里！。服务态度很好，再忙也不忘服务态度！不知道想喝什么就找度娘搜了一个搭配，别说还真不错哈。
,,40,口味：很好 环境：好 服务：很好 人均：0元,「冰淇淋红茶」「四季玛奇朵」「波霸奶茶」「抹茶拿铁」连续三天喝了四杯不同口味，整体来说不错，性价比也很高，比很多网红网红奶茶店的价格实惠很多，大众价格品质口感。不过缺点在于不能喝太多，喝多腻了，感觉一周喝1、2次还能接受多了就不行了。
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,是的我又来了，天气实在是太热了，简直像火炉一样，一点点比较有特色的就在于它有冰激凌的配方，一般我会点红茶玛奇朵，里面有冰激凌，再配上珍珠简直是绝配，这家店的店员服务生是比较多的，大概晚上会有六个人左右，没办法，生意实在是太好了。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,现在1⃣️点点的分店越来越多，也不用像以前一样排长队等了，一般到店基本能马上买到．一直以来都是点他们家的奶青（或奶绿），然后另加奶霜、无糖、去冰，各种奶茶店多了，所以囗味也就这样啦，服务员态度很好，热情很高哈哈。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,周四下午4点半左右的昌里路一点点居然没人！简直不敢相信😅一点点感觉就是哪里都一样，可是就是想喝。点了网红点法，好评😆希望每次路过都像这样没人，我肯定每次都买。现在大杯的布丁涨了5块钱，喝的时候心在滴血😅
,,10,口味：很好 环境：很好 服务：差 人均：0元,一星给服务的。。现在培训流程是怎么回事，也是从一开始上海开店就买的老客户了，第一次碰到这种情况。。明明就是自己给错杯导致重做，还非要嘴硬是我没听到叫我，还一脸无辜地问58号客人回来了没有，呵呵我全程站在你面前好吧？。退一万步说叫过我没听到又怎样呢(何况我还没聋啊)，怎么可能因为客人走开就把杯给错到后面客人呢，内容物根本不是一样的啊？后面客人没发现的话不是一下坑两个客人了吗？？而且真的如果叫对号的话根本就不会把错的给人家了对吧？明明今天人很少，那忙的时候岂不是要上天了？？。当面直接指出还不承认错杯的事情反复强调我没听到叫号，所以在你们店员眼里我不仅聋还瞎是吧？给我的这杯敢说不是重做的吗，毕竟给错的那杯还因为打开了在你身后的冰箱里呢🙄(以及是的，现在错杯都不直接倒掉了呢真是环保)。想当年我都和某两家一点点的第一批店员熟到旅行回带手信，就是服务人情牌做得很好。真是唏嘘。
,,50,口味：非常好 环境：非常好 服务：非常好,喜欢喝一点点，倒不如说喜欢吃他的波霸，最爱一点点家的波霸奶茶，每次买都是要多放波霸的，每次都是有差不多半杯的波霸了，吃的超满足，波霸真的超Q弹，好好吃，也不愧是上海网红奶茶，感觉每天无时无刻都在排队，每次去人都好多要等上好久，
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,上次去武汉没有买到，这次刚好看到就买了一杯，感觉变难喝了，不想再喝了，现在不怎么喜欢奶茶了，比较喜欢茶和咖啡，苦一点的东西比较好喝，一点点在武汉很多人喝，这里就比较少了，喜茶每一家都很火爆，我妈还以为是免费的。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,昨天和妹子去喝一点点，上南路的那家，人还挺多的，每次路过都需要排队，然后两个人买了一杯超大杯的，结果她喝到一半掉地上了，里面的珍珠放的挺多的，感觉量还是挺足的，奶茶还行也不是很甜。难怪人气你们高，不是没有道理的，哈哈哈
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,冰激凌红茶好喝绝了  奶茶的话还是波霸奶绿好喝点  不喜欢红茶 「冰淇淋红茶」打call 「柠檬养乐多」也蛮好喝的 就是有点过于酸了 可能我吃不了酸 「波霸奶绿」这个好喝 加点 燕麦 更好喝了哇 「葡萄柚绿」适合夏天 清爽 ✌🏻
,,40,口味：很好 环境：很好 服务：很好 人均：15元,这家上南路上的一点点离昌里路，很近。地铁口出来，也很方便。每次路过的时候，排队的人都很多，生意很好，可以在附近厂里路吃完东西之后来这里买一杯喝喝。夏天到了，一点点冰的奶茶特别好喝。一直加仙草，感觉很消暑~
,,20,口味：一般 环境：很好 服务：很好 人均：0元,517💢我要吃！这样的节日不叫外卖太对不起自己～。今天满50可以用5.17的抵用券，叫个一点点等于免配送费啦！。我选择了柠檬蜜，不是一点点的难吃啊！到最后都没喝完！腻到不行！。喝完食道很不舒服的…发誓再也不喝一点点了！
,,50,口味：非常好 环境：非常好 服务：非常好,夏天啦 又可以喝冰激凌红茶啦～一个激动忘了一点点的珍珠叫波霸。。加了波霸口感会好很多 珍珠的口感还是差了点 冰激凌一定要化了之后搅拌后喝 超级赞！奶盖不加也很好喝。新解锁了柠檬梅子 五分甜的话还是有点酸 7分甜正好 酸酸甜甜的很适合夏天 当然加了波霸口感更丰富
,,30,口味：好 环境：好 服务：好 人均：0元,这家店每次地铁下来都会路过，生意一直很好，基本外卖也是很多，有时候中午过去，前面就两个人在等，但里面忙着做外卖的，所以外面的人等上二十分钟也是经常的，所以有时候看人少就买一杯很错误的决定啊，喝的最多的还是冰激凌红茶，涨价了，原来中杯十三元现在十四元，大杯也是涨价一块钱变18了！
,,30,口味：很好 环境：好 服务：好 人均：20元,只是想标记下7、8号线耀华路站这里有家一点点，作为季节限定的冰淇淋红茶括弧一年四季都有贩售括弧，也是招牌特色，去冰3分微甜有涩感的红茶勾勒冰淇淋的奶香，有夏天的感觉😌没有直接吃奶油那么罪恶，也不会干巴巴喝茶那么无趣
,,20,口味：一般 环境：一般 服务：一般 人均：0元,只想说从来不写点评的我，今天真的无语了，晚上老婆公司聚餐回来顺便帮我带了杯奶茶，一点点也一直喝，不过我喝了两口，我老婆问我有什么漂着，用吸管挑了下是一只小飞虫🙂，结果找着找着又找出来两只🙂，知道你们生意好，比较忙，可是天气热了，晚上小飞虫也变多了，希望注意吧！！！
,,40,口味：好 环境：很好 服务：很好,这家生意太好了排队都可以30分钟，好吓人，以前都不知道这个地方，后来才知道附近是美食一条街！哪里都是打牌长隆！吃的东西好多，朋友们在这里排队，我去其他地方排队，我吃饭的地方排队更加恐怖，需要1个多小时，哎。。。。真的是累啊累！
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,【位置】：7、8号线地铁出来就是了。。【服务】：每次来都是那么热情，只要有一个小哥哥叫一声后面的小哥哥小姐姐都会欢迎你。。【推荐】：波霸奶茶无糖，减肥的妹子可以试试，我怎么感觉涨价了？以前中杯好像是10元吧？！现在11元了，喜欢吃到不介意，不知道其他有没有涨
,,50,口味：非常好 环境：非常好 服务：非常好 人均：20元,买的波霸奶茶和大冰淇凌红茶，真的是好喝到爆表！。大冰淇凌加上奶盖那个味道，哇塞，简直了。波霸奶茶3分甜已经是超级好喝了，下次试试9分甜，加上大颗珍珠。为什么天津没有一点点呢！。天津要是开，我觉得我可以月涨10斤肉
,,30,口味：好 环境：好 服务：差 人均：0元,永远点不对的一点点。🤔🤔🤔。。一直叫这家店的外卖，通常菜单是：大杯奶绿，七分糖，热的。但是每一次的七分糖都是和无糖差不多的。导致我一直怀疑这家店的员工味觉有问题。因为我在别家店点相同的菜单，就是甜的，唯独这一家，与众不同。。。今天我特地去店里买了，同样的单，大杯奶绿，七分糖，热的。做出来还是不甜的，我直接问店员，店员居然告诉我，七分糖是微糖的意思，三分糖是少糖，如果你要甜一点，要说多糖。🙄呵呵，是我理解能力有问题还是你们有问题？一点点的外卖单上从来都没有“多糖”这选项啊！
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,每次经过一点点都是人很多，难道这次人少去买了。点的是四季奶青和椰果奶茶。相对其他含奶精的奶茶来说，他们家算是良心的，味道很好，喝完也不会觉得很腻，茶味比较浓郁，建议最好不要超过下午3点之后喝，不然晚上会失眠的呢。
,,50,口味：非常好 环境：非常好 服务：非常好 人均：12元,终于知道一点点为什么排队排队排队了，其实主要不在于有多好喝，关键是性价比。。突然发现上海滩会排长队的不一定是有多好吃，但这个价格能吃到这样的东西才是吸引大家排队的。。当然一点点的服务啊，品质啊也是没话说的。那个再忙都会说欢迎光临，再忙也要集体说一声谢谢光临，这样的服务让人不得不爱上它，更何况亲民的价格，不差的口感！。我反正很无聊，喝来喝去波霸奶绿
,,30,口味：好 环境：很好 服务：很好 人均：12元,服务没得说，很耐心。。看评论点了一杯红茶玛奇朵，7分糖。小姐姐问我要不要打开，脑袋没反应过来，直接点头，嗯。然后才想起来大家不是说要摇匀了再喝吗……打开了怎么摇……。然后慢慢晃来晃去，一边摇一边洒，最后还是就那样喝了。。宝宝觉得很方不好喝啊……有点甜腻，半冷不热，还是喜欢传统奶茶的那种浓醇或清爽的感觉…
,,30,口味：好 环境：好 服务：好,每次经过这家1点点总是看到排队的，上一次来买还是两年多前了，当时因为看到只有四五个人等着，而去买的，结果还是等了将近半小时才拿到饮料，所以从此以后就没去过。。昨天晚上八点左右经过，看到没有人排队，到了就可以买，所以又再尝试了一次。速度确实不快。因为喜欢喝奶盖，每到一处都要点有奶盖的饮品。要了乌龙玛奇朵，乌龙茶味道蛮浓的，但是这家的奶盖不喜欢，太甜了，还是其他几家好喝。
,,10,口味：差 环境：差 服务：差 人均：17元,这是我喝过最难喝的一点点！。乌龙拿铁半糖波霸（热）……店员最后点成乌龙拿铁半糖混珠，这不是重点，重点是乌龙拿铁毫无茶味，就是一杯奶冲淡加了点糖！真的是崩溃！。怎么可以那么难喝！味道淡的简直可耻！。店员服务态度是好的但食物质量不行！。请必须改进！
,,40,口味：很好 环境：很好 服务：非常好 人均：0元,来逛昌里路，路过一点点，抵不住排队的诱惑，还是点了杯乌龙玛奇朵。知道一点点为什么现在这么红了，服务员都很热情，敬业，制作流程也都很规范，每个操作员分工明确，忙而不乱。饮品量足，可口，颜值也非常高，怪不得那么吸引现在的小朋友和年轻人。
,,30,口味：好 环境：一般 服务：一般 人均：15元,嘴馋特地从世博源走过来买杯喝喝～。一路既往的排队…就是买单和取茶的连着近，排队的人乱哄哄…。奶青加波霸三分糖也蛮甜…以后要无糖了…。另外杯柠檬蜜3分糖不错，酸中带甜，就是加了波霸咬着累了…。感觉加珍珠么太小…波霸太大…要出个中珠
,,30,口味：好 环境：好 服务：好 人均：12元,趁着女儿上辅导课的时候，出来喝杯奶茶。。这家之前路过总看到排了不少人，今天倒还好，前面就一、两个人。。和老婆一人点了一杯。她的是乌龙玛奇朵，虽说有奶盖，但真的比不上喜茶的；而我的冰淇淋红茶，冰淇淋和红茶没法融合到一起，口味完全不搭。
,,40,口味：非常好 环境：非常好 服务：很好,那天闲来无事 跟着长龙排一点点。不管等着点单的还是等着拿饮料的 人都好多。就连外卖小哥也好多阿！。这间人气挺高的 每次经过人都是不少。更别说是假日了。点了四季奶青 3分糖 是我熟悉的奶茶味道。要喝奶茶系列的 目前比较偏爱一点点。不过给饮料的小哥态度 感觉很不好 有点用甩的呀。我没有惹到你吧
,,50,口味：非常好 环境：非常好 服务：非常好,一点点的钟爱粉。。周六去看电影，正好看到附近有一点点，毫不犹豫地去买了一杯，结果成功地错过了电影开场。哈哈哈哈哈哈。。本来时间就不够，再加上排队的人很多，耽误了很久，不过我就是喜欢呀，就是想喝一点点，只可惜家里附近没有，下次还去耀华路，开心哈哈
,,50,口味：非常好 环境：非常好 服务：非常好 人均：15元,人是真的多！但是今天没有排太久，制作速度很快，可以可以！喜欢四季春，无糖，不加奶。冬天一杯热茶，暖手宝～喝的整个人暖暖的 东西干净手脚快！这个绝对要好评！朋友点的四季春玛奇朵！他是特别喜欢这个，也蛮好喝的。
,,50,口味：非常好 环境：很好 服务：非常好 人均：0元,情人节突然想喝一杯一点点！。还好排队的人不多...。点单员一直问我确定要去冰的嘛？？我们有温的和热的...。大冬天和去冰全糖不怂...。乌龙奶茶不会特别甜...珍珠还是很不错的...。一点点的波霸乌龙奶和红茶玛奇朵换着点...真的好喝...
,,40,口味：很好 环境：很好 服务：很好,☝地理位置👉地铁7.8号线耀华路站出站步行大概200米的沿街小铺。☝店铺环境👉店铺不大，由于门面有根柱子，让我误以为点单和发饮料是分开的。。原来并不是，点单窗口同时也发饮料，而被拦开的，只是员工制作区。☝员工服务👉店员挺多的，各司其职。☝饮料口味👉点了波霸奶茶，波霸超级多，奶茶茶味濃，奶味不够。红茶玛奇朵上面奶霜太少了，茶一般。
,,40,口味：很好 环境：很好 服务：很好 人均：0元,小店位于耀华路地铁站出来往上南路方向去的路上，一点点不管开在哪里都很火爆，排队的人很多。点了一大杯波霸奶茶，三分甜，奶茶里的珍珠圆子真是好多啊，足足得有小半杯，喜欢吃珍珠圆子的有口福了，我不爱吃这个，觉得撑的很，奶茶还是很好喝的。
,,50,口味：非常好 环境：很好 服务：非常好,天气很寒冷，来买一杯一点点，由于是工作日所以不用排队感觉很难得。不容易啊。旁边外卖小哥挺多的看来大家都不太想大冷天在这边买奶茶买了一杯新出的奶茶，很快就给我了我觉得奶盖略甜喝上去一股甜味。又是好几斤卡路里呀。
,,20,口味：一般 环境：一般 服务：一般 人均：13元,每次必点波霸奶绿、珍珠奶茶！。。喝过那么多家一点点，这家店的水平属于最差的！。。波霸奶绿，半糖，到嘴里就像是白水一样的味道。杯壁还特别粘，没擦干净吧～。。珍珠奶茶，全糖还行。杯壁也很粘～。。之前外卖叫过冰淇淋红茶，点的大杯，送过来的是中杯 。。总体就 一般！！！
,,50,口味：非常好 环境：非常好 服务：非常好 人均：0元,中午去昌里路吃锅贴，想喝个奶茶，可惜，葡萄柚绿现在没有，说季节产品，夏天才有，但感觉，大批上市是秋天的事情，也不是很懂，喝了杯奶茶加变冰淇淋，也很好喝，就是排队的人很多，感觉一点点现在到处都有，到处都排队，后面有五六个人在做奶茶，等了不久，就喝上了～
,,10,口味：差 环境：差 服务：差 人均：0元,差评，点了一杯红茶玛奇朵，做错了，打电话到店里居然被告知没有做错，说是玛奇朵溶掉了，同样两杯玛奇朵放在一起，差别就是这么大，做错了就做错了，承认就行了，忽悠消费者算是什么本事，当我们第一次喝嘛😤😤😤
,,40,口味：很好 环境：很好 服务：很好 人均：13元,"排队神店,网红奶茶店,小马目前为止还没有,于是跑来魔都尝个鲜.坐标上南路,去吃饭的路上刚好经过.。奶茶虽然种类也没有很多,然而还是犯了选择困难症,天气炎热,于是我选了冰淇淋红茶,老弟选的波霸奶绿.两杯才27元,对比喜茶和奈雪の茶这些网红奶茶店来说价格算是很良心了.排队的人也还能接受,没有太夸张,大概不到半小时就到我们了.。貌似是我不太会喝的原因,冰淇淋红茶我先把冰淇淋给吃了......T T于是茶就太淡了,其实应该是等冰淇淋融化一部分跟茶融合然后再喝口感更佳,,但我比较心急,哈哈~;老弟的波霸奶茶就是珍珠奶茶,不知道什么时候珍珠都不叫珍珠改叫波霸了.珍珠比较有嚼头,夏天喝冰的还是很舒服的,希望小马尽快开一家呢~"
,,50,口味：非常好 环境：非常好 服务：非常好,跨年了才来写实在是不好意思呀，一直去的这家，因为里昌里路和世博源都很方便，离地铁站也才一百多米确实方便。地方小小的，有三四个人做，总是忙的不可开交，也真是辛苦了，这次买的四季奶青，不甜，滑润清爽，一直很喜欢，反而新出的我都不感冒，加了免费的波霸，分量足，回去都不用吃饭了，哈哈，下次和店员说少加些😉
,,40,口味：很好 环境：很好 服务：很好 人均：0元,不管哪家一点点总是人头攒动，生意兴隆。浦东这一家在上南路上，也是生意好啊。店堂里的年轻人忙得不亦乐乎，刚巧看到招聘的广告，做这份工辛苦但工资也不高；年轻人挣钱不容易。最喜欢的还是他的红茶玛奇朵和乌龙玛奇朵系列，现在学会加混珠了，感觉很好。没志气的我，想开一家一点点啊！
,,30,口味：好 环境：好 服务：好 人均：0元,乌龙奶茶中规中矩，么撒好冈额。。。柠檬🍋养乐多，七分甜，。猛吸一口，不由得眉头紧锁，。居然甜得我这苏锡帮都举白旗🏳️🏳️🏳️。巨甜巨酸，口感极端！。虽然酸酸甜甜是我的最爱，。但如此极致体验我也是醉了🤦‍♀️。。等饮料期间拍下图4⃣️，。刚进的货好像是袋装茶叶，掉在地上一滩有烟蒂的污水中，希望店家能妥善处理。
,,40,口味：很好 环境：很好 服务：很好,上南地区唯一的一家一点点，奇怪连三林地区怎么也会没有的？而且家里的地址都不外送的，难得在朋友家可以叫到外卖，不用排队，不肯放弃😅😅。。这家店在上南路沿街店面，三钢里附近，全家旁边。最爱四季奶青+奶霜，不过各人感觉更适合夏天喝。
